Gene.ID,Name,Class,Cluster
SO_3004,,Lambda,
SO_3005,,Lambda,
SO_3006,,Lambda,
SO_4794,,Lambda,
SO_3007,,Lambda,
SO_3008,,Lambda,
SO_3009,,Lambda,
SO_3010,,Lambda,
SO_4795,,Lambda,
SO_3012,,Lambda,
SO_3013,,Lambda,
SO_3014,,Lambda,
SO_3015,,Lambda,
SO_3016,,Lambda,
SO_3017,,Lambda,
SO_1126,dnak,General Stress,
SO_0703,groES,General Stress,
SO_2016,htpG,General Stress,
SO_1524,grpE,General Stress,
SO_1794,clpP,General Stress,
SO_2728,htpX,General Stress,
SO_2277,ibpA,General Stress,
SO_1196,rrmJ,General Stress,
SO_1796,Ion,General Stress,
SO_2017,SO_2017,General Stress,
SO_0345,prpB,General Stress,
SO_0346,prpR,General Stress,
SO_1756,SO_1756,General Stress,
SO_1757,SO_1757,General Stress,
SO_1758,SO_1758,General Stress,
SO_3429,recX,DNA Damage,
SO_2604,yegB,DNA Damage,
SO_2603,,DNA Damage,
SO_2778,FabH,Other,
